Address,Opcode,Category,isBranch,isControlFlow,isMemoryRead,isMemoryWrite,isCall,Read_Regsiters,Write_Registers
4238966,POP,POP,0,0,1,0,0,R[6],W[7 6]
4238967,XOR,LOGICAL,0,0,0,0,0,R[10 10],W[10 25]
4238969,POP,POP,0,0,1,0,0,R[6],W[5 6]
4238970,POP,POP,0,0,1,0,0,R[6],W[15 6]
4238972,POP,POP,0,0,1,0,0,R[6],W[16 6]
4238974,POP,POP,0,0,1,0,0,R[6],W[17 6]
4238976,POP,POP,0,0,1,0,0,R[6],W[18 6]
4238978,RET_NEAR,RET,0,1,1,0,0,R[6],W[26 6]
4239283,MOV,DATAXFER,0,0,1,0,0,R[6],W[11]
4239288,XOR,LOGICAL,0,0,0,0,0,R[10 10],W[10 25]
4239290,MOV,DATAXFER,0,0,0,0,0,R[11],W[3]
4239293,CALL_NEAR,CALL,0,1,0,1,1,R[26 6],W[26 6]
4239406,MOV,DATAXFER,0,0,1,0,0,R[26],W[10]
4239413,MOV,DATAXFER,0,0,0,0,0,R[5],W[17]
4239416,MOV,DATAXFER,0,0,1,0,0,R[10 16],W[3]
4239420,ADD,BINARY,0,0,0,0,0,R[3 15],W[3 25]
4239423,LEA,MISC,0,0,0,0,0,R[3],W[8]
4239426,MOV,DATAXFER,0,0,0,0,0,R[3],W[10]
4239428,CMP,BINARY,0,0,0,0,0,R[5 8],W[25]
4239430,JNL,COND_BR,1,1,0,0,0,R[26 25],W[26]
4239432,MOVSXD,DATAXFER,0,0,0,0,0,R[5],W[10]
4239435,MOV,DATAXFER,0,0,0,0,0,R[5],W[17]
4239438,LEA,MISC,0,0,0,0,0,R[10],W[18]
4239446,NOP,WIDENOP,0,0,0,0,0,R[10 10 10],W[]
4239456,MOV,DATAXFER,0,0,1,0,0,R[26],W[8]
4239463,MOV,DATAXFER,0,0,1,0,0,R[26],W[10]
4239470,MOV,DATAXFER,0,0,0,0,0,R[7],W[3]
4239472,MOVSXD,DATAXFER,0,0,1,0,0,R[8 18],W[4]
4239476,MOVSXD,DATAXFER,0,0,1,0,0,R[8 18],W[8]
4239481,ADD,BINARY,0,0,0,0,0,R[18],W[18 25]
4239485,LEA,MISC,0,0,0,0,0,R[10 8],W[9]
4239489,LEA,MISC,0,0,0,0,0,R[10 4],W[11]
4239493,MOV,DATAXFER,0,0,0,0,0,R[17],W[8]
4239496,SUB,BINARY,0,0,0,0,0,R[8 7],W[8 25]
4239498,XOR,LOGICAL,0,0,0,0,0,R[10 10],W[10 25]
4239500,MOV,DATAXFER,0,0,0,0,0,R[5],W[4]
4239502,CALL_NEAR,CALL,0,1,0,1,1,R[26 6],W[26 6]
4239961,SUB,BINARY,0,0,0,0,0,R[18],W[18 25]
4239965,CMP,BINARY,0,0,1,0,0,R[16 6],W[25]
4239969,JNZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
4239971,MOVSXD,DATAXFER,0,0,1,0,0,R[6],W[12]
4239976,MOV,DATAXFER,0,0,1,0,0,R[6],W[11]
4239981,CMP,BINARY,0,0,1,0,0,R[11 6],W[25]
4239986,JNL,COND_BR,1,1,0,0,0,R[26 25],W[26]
4239988,MOV,DATAXFER,0,0,0,0,0,R[15],W[10]
4239991,SUB,BINARY,0,0,1,0,0,R[10 6],W[10 25]
4239995,MOV,DATAXFER,0,0,1,0,0,R[6],W[16]
4240000,LEA,MISC,0,0,0,0,0,R[12],W[18]
4240008,SUB,BINARY,0,0,0,0,0,R[11 10],W[11 25]
4240011,SUB,BINARY,0,0,0,0,0,R[16 10],W[16 25]
4240014,MOV,DATAXFER,0,0,0,0,0,R[11],W[17]
4240017,NOP,WIDENOP,0,0,0,0,0,R[10 10],W[]
4240024,MOV,DATAXFER,0,0,0,0,0,R[7],W[9]
4240027,MOV,DATAXFER,0,0,0,0,0,R[17],W[8]
4240030,XOR,LOGICAL,0,0,0,0,0,R[10 10],W[10 25]
4240032,MOV,DATAXFER,0,0,0,0,0,R[5],W[4]
4240034,MOV,DATAXFER,0,0,0,0,0,R[15],W[3]
